Tabela;Coluna;Tipo;Nullable;Default;Constraint;Comentário;Linhas Tabela;Posição;
BCKP_THIST_MOV_CR_250121;VLR_COFINS;NUMBER(17,8);NULL;;;;285;19;
BCKP_THIST_MOV_CR_250121;VLR_CSLL;NUMBER(17,8);NULL;;;;285;20;
BCKP_THIST_MOV_CR_250121;VLR_IRPJ;NUMBER(17,8);NULL;;;;285;21;
BCKP_THIST_MOV_CR_250121;VLR_ISSQN;NUMBER(17,8);NULL;;;;285;22;
BCKP_THIST_MOV_CR_250121;VLR_PIS;NUMBER(17,8);NULL;;;;285;23;
BCKP_THIST_MOV_CR_250121;VLR_JURO_ND;NUMBER(17,8);NULL;;;;285;24;
BCKP_THIST_MOV_CR_250121;USUARIO;VARCHAR2(70);NULL;;;;285;25;
BCKP_THIST_MOV_CR_250121;CICL_CAIXA_ID;NUMBER(10,0);NULL;;;;285;26;
BCKP_THIST_MOV_CR_250121;FPGTO_ID;NUMBER(10,0);NULL;;;;285;27;
BCKP_THIST_MOV_CR_250121;VLR_MOV_MOE_EXT;NUMBER(17,8);NULL;;;;285;28;
BCKP_THIST_MOV_CR_250121;COTACAO_MOEDA;NUMBER(17,8);NULL;;;;285;29;
BCKP_THIST_MOV_CR_250121;DT_COTACAO_MOEDA;DATE;NULL;;;;285;30;
BCKP_THIST_MOV_CR_250121;VAR_CAMBIAL_ATIVA;NUMBER(17,8);NULL;;;;285;31;
BCKP_THIST_MOV_CR_250121;VAR_CAMBIAL_PASSIVA;NUMBER(17,8);NULL;;;;285;32;
BCKP_THIST_MOV_CR_250121;SALDO_VAR_CAMBIAL;NUMBER(17,8);NULL;;;;285;33;
BCKP_THIST_MOV_CR_250121;VLR_AB_MOE_EXT;NUMBER(17,8);NULL;;;;285;34;
BCKP_THIST_MOV_CR_250121;PER_CRE_PISCOFINS;DATE;NULL;;;;285;35;
BCKP_THIST_MOV_CR_250121;VLR_DISP_NEG;NUMBER(17,8);NULL;;;;285;36;
BCKP_THIST_MOV_CR_250121;VLR_NEG;NUMBER(17,8);NULL;;;;285;37;
BCKP_THIST_MOV_CR_250121;VLR_PIS_FAT;NUMBER(17,8);NULL;;;;285;38;
BCKP_THIST_MOV_CR_250121;VLR_COFINS_FAT;NUMBER(17,8);NULL;;;;285;39;
BCKP_THIST_MOV_CR_250121;VLR_PIS_ST;NUMBER(17,8);NULL;;;;285;40;
BCKP_THIST_MOV_CR_250121;VLR_COFINS_ST;NUMBER(17,8);NULL;;;;285;41;
BCKP_THIST_MOV_CR_250121;VLR_PRESENTE;NUMBER(17,8);NULL;;;;285;42;
BCKP_THIST_MOV_CR_250121;TOPER_ADM_ID;NUMBER;NULL;;;;285;43;
BCKP_THIST_MOV_CR_250121;SIT_CHQ;VARCHAR2(3);NULL;;;;285;44;
BCKP_THIST_MOV_CR_250121;VLR_AB_CONTABIL;NUMBER(17,8);NOT NULL;;;;285;45;
BCKP_THIST_MOV_CR_250121;BASE_CALC_PIS_FAT;NUMBER(17,8);NULL;;;;285;46;
BCKP_THIST_MOV_CR_250121;BASE_CALC_COFINS_FAT;NUMBER(17,8);NULL;;;;285;47;
BCKP_THIST_MOV_CR_250121;BASE_CALC_PIS_ST;NUMBER(17,8);NULL;;;;285;48;
BCKP_THIST_MOV_CR_250121;BASE_CALC_COFINS_ST;NUMBER(17,8);NULL;;;;285;49;
CG_REF_CODES;RV_DOMAIN;VARCHAR2(100);NOT NULL;;;;6123;1;
CG_REF_CODES;RV_LOW_VALUE;VARCHAR2(240);NOT NULL;;;;6123;2;
CG_REF_CODES;RV_HIGH_VALUE;VARCHAR2(240);NULL;;;;6123;3;
CG_REF_CODES;RV_ABBREVIATION;VARCHAR2(240);NULL;;;;6123;4;
CG_REF_CODES;RV_MEANING;VARCHAR2(240);NULL;;;;6123;5;
CG_REF_CODES;ID;NUMBER(10,0);NOT NULL;;PK;Primary Key;6123;6;
DIM_BANCO;DIM_BANCO_ID;NUMBER;NOT NULL;;;;262;1;
DIM_BANCO;DIM_BANCO_ID_ERP;NUMBER;NOT NULL;;;;262;2;
DIM_BANCO;CD_BANCO;NUMBER;NULL;;;;262;3;
DIM_BANCO;NM_BANCO;VARCHAR2(100);NULL;;;;262;4;
DIM_CENTRO_CUSTO;DIM_CENTRO_CUSTO_ID;NUMBER;NOT NULL;;;;70;1;
DIM_CENTRO_CUSTO;DIM_CENTRO_CUSTO_ID_ERP;NUMBER;NOT NULL;;;;70;2;
DIM_CENTRO_CUSTO;NM_CENTRO_CUSTO;VARCHAR2(100);NULL;;;;70;3;
DIM_CLIENTE;DIM_CLIENTE_ID;NUMBER;NOT NULL;;;;3014;1;
DIM_CLIENTE;DIM_CLIENTE_ID_ERP;NUMBER;NOT NULL;;;;3014;2;
DIM_CLIENTE;CD_CLIENTE;NUMBER;NULL;;;;3014;3;
DIM_CLIENTE;NM_CLIENTE;VARCHAR2(100);NULL;;;;3014;4;
DIM_CLIENTE;NM_CLIENTE_PAI;VARCHAR2(100);NULL;;;;3014;5;
DIM_CLIENTE;NM_SEGMENTO_CLIENTE;VARCHAR2(100);NULL;;;;3014;6;
DIM_CLIENTE;NM_TP_CLIENTE;VARCHAR2(100);NULL;;;;3014;7;
DIM_CLIENTE_ESTATISTICO;DIM_CLIENTE_ESTATISTICO_ID;NUMBER;NOT NULL;;;;1966;1;
DIM_CLIENTE_ESTATISTICO;DIM_CLIENTE_ESTATISTICO_ID_ERP;NUMBER;NOT NULL;;;;1966;2;
DIM_CLIENTE_ESTATISTICO;CD_CLIENTE;NUMBER;NULL;;;;1966;3;
DIM_CLIENTE_ESTATISTICO;NM_CLIENTE;VARCHAR2(100);NULL;;;;1966;4;
DIM_CLIENTE_ESTATISTICO;NM_CLIENTE_PAI;VARCHAR2(100);NULL;;;;1966;5;
DIM_CLIENTE_ESTATISTICO;NM_SEGMENTO_CLIENTE;VARCHAR2(100);NULL;;;;1966;6;
DIM_CLIENTE_ESTATISTICO;NM_TP_CLIENTE;VARCHAR2(100);NULL;;;;1966;7;
DIM_COND_PAGTO;DIM_COND_PAGTO_ID;NUMBER;NOT NULL;;;;237;1;
DIM_COND_PAGTO;DIM_COND_PAGTO_ID_ERP;NUMBER;NOT NULL;;;;237;2;
DIM_COND_PAGTO;NM_COND_PAGTO;VARCHAR2(100);NULL;;;;237;3;
DIM_COND_PAGTO_ADIC;DIM_COND_PAGTO_ID;NUMBER;NOT NULL;;;;237;1;
DIM_COND_PAGTO_ADIC;PRAZO_MEDIO;NUMBER(7,4);NULL;;;;237;2;
DIM_CONTA;DIM_CONTA_ID;NUMBER;NOT NULL;;;;1155;1;
DIM_CONTA;DIM_CONTA_ID_ERP;NUMBER;NOT NULL;;;;1155;2;
DIM_CONTA;NM_CONTA;VARCHAR2(100);NULL;;;;1155;3;
DIM_DIVISAO_VENDA;DIM_DIVISAO_VENDA_ID;NUMBER;NOT NULL;;;;69;1;
DIM_DIVISAO_VENDA;DIM_DIVISAO_VENDA_ID_ERP;NUMBER;NOT NULL;;;;69;2;
DIM_DIVISAO_VENDA;NM_DIVISAO_VENDA;VARCHAR2(100);NULL;;;;69;3;
DIM_EMPRESA;DIM_EMPRESA_ID;NUMBER;NOT NULL;;;;6;1;
DIM_EMPRESA;DIM_EMPRESA_ID_ERP;NUMBER;NOT NULL;;;;6;2;
DIM_EMPRESA;CD_EMPRESA;NUMBER;NULL;;;;6;3;
DIM_EMPRESA;NM_EMPRESA;VARCHAR2(100);NULL;;;;6;4;
DIM_ESTABELECIMENTO;DIM_ESTABELECIMENTO_ID;NUMBER;NOT NULL;;;;3067;1;
DIM_ESTABELECIMENTO;DIM_ESTABELECIMENTO_ID_ERP;NUMBER;NOT NULL;;;;3067;2;
DIM_ESTABELECIMENTO;NM_ESTABELECIMENTO;VARCHAR2(50);NULL;;;;3067;3;
DIM_ESTABELECIMENTO;NM_SEGMENTO_MERCADO;VARCHAR2(100);NULL;;;;3067;4;
DIM_ESTABELECIMENTO_ADIC;DIM_ESTABELECIMENTO_ID;NUMBER;NOT NULL;;;;3067;1;
DIM_ESTABELECIMENTO_ADIC;TP_PES;VARCHAR2(1);NULL;;;;3067;2;
DIM_FORNECEDOR;DIM_FORNECEDOR_ID;NUMBER;NOT NULL;;;;3623;1;
DIM_FORNECEDOR;DIM_FORNECEDOR_ID_ERP;NUMBER;NOT NULL;;;;3623;2;
DIM_FORNECEDOR;CD_FORNECEDOR;NUMBER;NULL;;;;3623;3;
DIM_FORNECEDOR;NM_FORNECEDOR;VARCHAR2(100);NULL;;;;3623;4;
DIM_FORNECEDOR;NM_TP_FORNECEDOR;VARCHAR2(100);NULL;;;;3623;5;
DIM_GRUPO_CLASS;DIM_GRUPO_CLASS_ID;NUMBER;NOT NULL;;;;547;1;
DIM_GRUPO_CLASS;DIM_GRUPO_CLASS_ID_ERP;NUMBER;NOT NULL;;;;547;2;
DIM_GRUPO_CLASS;NM_CLASS_NIVEL_1;VARCHAR2(200);NULL;;;;547;3;
DIM_GRUPO_CLASS;NM_CLASS_NIVEL_2;VARCHAR2(200);NULL;;;;547;4;
DIM_GRUPO_CLASS;NM_CLASS_NIVEL_3;VARCHAR2(200);NULL;;;;547;5;
DIM_GRUPO_CLASS;NM_CLASS_NIVEL_4;VARCHAR2(200);NULL;;;;547;6;
DIM_GRUPO_CLASS;CD_CLASS_NIVEL_1;VARCHAR2(200);NULL;;;;547;7;
DIM_GRUPO_CLASS;CD_CLASS_NIVEL_2;VARCHAR2(200);NULL;;;;547;8;
DIM_GRUPO_CLASS;CD_CLASS_NIVEL_3;VARCHAR2(200);NULL;;;;547;9;
DIM_GRUPO_CLASS;CD_CLASS_NIVEL_4;VARCHAR2(200);NULL;;;;547;10;
DIM_GRUPO_CLASS;CD_CLASS;VARCHAR2(50);NULL;;;;547;11;
DIM_ITEM;DIM_ITEM_ID;NUMBER;NOT NULL;;;;18680;1;
DIM_ITEM;DIM_ITEM_ID_ERP_ITEM;NUMBER;NOT NULL;;;;18680;2;
DIM_ITEM;CD_ITEM;VARCHAR2(50);NULL;;;;18680;3;
DIM_ITEM;NM_ITEM;VARCHAR2(100);NULL;;;;18680;4;
DIM_ITEM;NM_CLASS_NIVEL_1;VARCHAR2(200);NULL;;;;18680;5;
DIM_ITEM;NM_CLASS_NIVEL_2;VARCHAR2(200);NULL;;;;18680;6;
DIM_ITEM;NM_CLASS_NIVEL_3;VARCHAR2(200);NULL;;;;18680;7;
DIM_ITEM;NM_CLASS_NIVEL_4;VARCHAR2(200);NULL;;;;18680;8;
DIM_ITEM;CD_CLASS_NIVEL_1;VARCHAR2(200);NULL;;;;18680;9;
DIM_ITEM;CD_CLASS_NIVEL_2;VARCHAR2(200);NULL;;;;18680;10;
DIM_ITEM;CD_CLASS_NIVEL_3;VARCHAR2(200);NULL;;;;18680;11;
DIM_ITEM;CD_CLASS_NIVEL_4;VARCHAR2(200);NULL;;;;18680;12;
DIM_ITEM;CD_CLASS;VARCHAR2(50);NULL;;;;18680;13;
DIM_ITEM;NM_CD_UM_ITEM;VARCHAR2(200);NULL;;;;18680;14;
DIM_LOCAL;DIM_LOCAL_ID;NUMBER;NOT NULL;;;;9216;1;
DIM_LOCAL;DIM_LOCAL_ID_ERP;NUMBER;NOT NULL;;;;9216;2;
DIM_LOCAL;NM_CIDADE;VARCHAR2(100);NULL;;;;9216;3;
DIM_LOCAL;CD_UF;VARCHAR2(10);NULL;;;;9216;4;
DIM_LOCAL;NM_PAIS;VARCHAR2(100);NULL;;;;9216;5;
DIM_LOCAL;NM_MICROREGIAO;VARCHAR2(100);NULL;;;;9216;6;
DIM_LOCAL;NR_LATITUDE;NUMBER;NULL;;;;9216;7;
DIM_LOCAL;NR_LONGITUDE;NUMBER;NULL;;;;9216;8;
DIM_MASCARA;DIM_MASCARA_ID;NUMBER;NOT NULL;;;;1614104;1;
DIM_MASCARA;DIM_MASCARA_ID_ERP;NUMBER;NOT NULL;;;;1614104;2;
DIM_MASCARA;CD_MASCARA;NUMBER;NULL;;;;1614104;3;
DIM_MASCARA;NM_MASCARA;VARCHAR2(4000);NULL;;;;1614104;4;
DIM_PERIODO;DIM_PERIODO_ID;NUMBER;NOT NULL;;;;36;1;
DIM_PERIODO;DIM_PERIODO_ID_ERP;NUMBER;NOT NULL;;;;36;2;
DIM_PERIODO;NM_PERIODO;VARCHAR2(100);NULL;;;;36;3;
DIM_PERIODO;NM_INTERVALO;VARCHAR2(100);NULL;;;;36;4;
DIM_PERIODO;QTD_DIAS_PERIODO;NUMBER;NULL;;;;36;5;
DIM_PERIODO_TEMPO;DIM_PERIODO_TEMPO_ID;NUMBER;NOT NULL;;;;1096;1;
DIM_PERIODO_TEMPO;DIM_PERIODO_ID;NUMBER;NOT NULL;;;;1096;2;
DIM_PERIODO_TEMPO;DIM_TEMPO_ID;NUMBER;NOT NULL;;;;1096;3;
DIM_PORTADOR;DIM_PORTADOR_ID;NUMBER;NOT NULL;;;;38;1;
DIM_PORTADOR;DIM_PORTADOR_ID_ERP;NUMBER;NOT NULL;;;;38;2;
DIM_PORTADOR;CD_PORTADOR;NUMBER;NULL;;;;38;3;
DIM_PORTADOR;NM_PORTADOR;VARCHAR2(100);NULL;;;;38;4;
DIM_PORTADOR;IN_PLANEJAMENTO;NUMBER;NULL;;;;38;5;
DIM_REPRESENTANTE;DIM_REPRESENTANTE_ID;NUMBER;NOT NULL;;;;48;1;
DIM_REPRESENTANTE;DIM_REPRESENTANTE_ID_ERP;NUMBER;NOT NULL;;;;48;2;
DIM_REPRESENTANTE;CD_REPRESENTANTE;NUMBER;NULL;;;;48;3;
DIM_REPRESENTANTE;NM_REPRESENTANTE;VARCHAR2(100);NULL;;;;48;4;
DIM_REPRESENTANTE;NM_SUPERVISOR;VARCHAR2(100);NULL;;;;48;5;
DIM_TEMPO;DIM_TEMPO_ID;NUMBER;NOT NULL;;;;3653;1;
DIM_TEMPO;DT_DATA;DATE;NULL;;;;3653;2;
DIM_TEMPO;NR_DIA;NUMBER;NULL;;;;3653;3;
DIM_TEMPO;NM_DIA_SEMANA;VARCHAR2(50);NULL;;;;3653;4;
DIM_TEMPO;NR_SEMANA_ANO;NUMBER;NULL;;;;3653;5;
DIM_TEMPO;NR_MES;NUMBER;NULL;;;;3653;6;
DIM_TEMPO;NM_MES;VARCHAR2(50);NULL;;;;3653;7;
DIM_TEMPO;NR_ANO;NUMBER;NULL;;;;3653;8;
DIM_TEMPO;QTD_DIAS_UTEIS_MES;NUMBER;NULL;;;;3653;9;
DIM_TEMPO;IN_DIA_UTIL;NUMBER;NULL;;;;3653;10;
DIM_TEMPO;NR_BIMESTRE;NUMBER;NULL;;;;3653;11;
DIM_TEMPO;NR_TRIMESTRE;NUMBER;NULL;;;;3653;12;
DIM_TEMPO;NR_SEMESTRE;NUMBER;NULL;;;;3653;13;
DIM_TIPO_NOTA;DIM_TIPO_NOTA_ID;NUMBER;NOT NULL;;;;235;1;
DIM_TIPO_NOTA;DIM_TIPO_NOTA_ID_ERP;NUMBER;NOT NULL;;;;235;2;
DIM_TIPO_NOTA;NM_TIPO_NOTA;VARCHAR2(100);NULL;;;;235;3;
DIM_TIPO_NOTA;IN_RECEITA;NUMBER;NULL;;;;235;4;
DIM_TP_COBRANCA;DIM_TP_COBRANCA_ID;NUMBER;NOT NULL;;;;4;1;
DIM_TP_COBRANCA;DIM_TP_COBRANCA_ID_ERP;NUMBER;NOT NULL;;;;4;2;
DIM_TP_COBRANCA;NM_TP_COBRANCA;VARCHAR2(100);NULL;;;;4;3;
DIM_TP_DOCUMENTO;DIM_TP_DOCUMENTO_ID;NUMBER;NOT NULL;;;;44;1;
DIM_TP_DOCUMENTO;DIM_TP_DOCUMENTO_ID_ERP;NUMBER;NOT NULL;;;;44;2;
DIM_TP_DOCUMENTO;CD_TP_DOCUMENTO;VARCHAR2(10);NULL;;;;44;3;
DIM_TP_DOCUMENTO;NM_TP_DOCUMENTO;VARCHAR2(100);NULL;;;;44;4;
DIM_TP_DOCUMENTO;IN_PENDENCIA_FINANCEIRA;NUMBER;NULL;;;;44;5;
DIM_TRANSPORTADORA;DIM_TRANSPORTADORA_ID;NUMBER;NOT NULL;;;;1589;1;
DIM_TRANSPORTADORA;DIM_TRANSPORTADORA_ID_ERP;NUMBER;NOT NULL;;;;1589;2;
DIM_TRANSPORTADORA;NM_TRANSPORTADORA;VARCHAR2(100);NULL;;;;1589;3;
FATO_META;FATO_META_ID;NUMBER;NOT NULL;;;;6;1;
FATO_META;FATO_META_ID_ERP;NUMBER;NOT NULL;;;;6;2;
FATO_META;DIM_ITEM_ID;NUMBER;NULL;;;;6;3;
FATO_META;DIM_PERIODO_ID;NUMBER;NULL;;;;6;4;
FATO_META;DIM_CLIENTE_ID;NUMBER;NULL;;;;6;5;
FATO_META;DIM_EMPRESA_ID;NUMBER;NULL;;;;6;6;
FATO_META;DIM_LOCAL_ID;NUMBER;NULL;;;;6;7;
FATO_META;DIM_ESTABELECIMENTO_ID;NUMBER;NULL;;;;6;8;
FATO_META;DIM_REPRESENTANTE_ID;NUMBER;NULL;;;;6;9;
FATO_META;NM_PERIODO;VARCHAR2(100);NULL;;;;6;10;
FATO_META;VLR_META;NUMBER;NULL;;;;6;11;
FATO_META;QTD_META;NUMBER;NULL;;;;6;12;
FATO_META;DIM_MASCARA_ID;NUMBER;NULL;;;;6;13;
FATO_META;DIM_GRUPO_CLASS_ID;NUMBER;NULL;;;;6;14;
FATO_PEDIDO;FATO_PEDIDO_ID;NUMBER;NOT NULL;;;;174688;1;
FATO_PEDIDO;FATO_PEDIDO_ID_ERP;NUMBER;NOT NULL;;;;174688;2;
FATO_PEDIDO;DIM_CLIENTE_ID;NUMBER;NULL;;;;174688;3;
FATO_PEDIDO;DIM_EMPRESA_ID;NUMBER;NULL;;;;174688;4;
FATO_PEDIDO;DIM_LOCAL_ID;NUMBER;NULL;;;;174688;5;
FATO_PEDIDO;DIM_TEMPO_ID;NUMBER;NULL;;;;174688;6;
FATO_PEDIDO;DIM_COND_PAGTO_ID;NUMBER;NULL;;;;174688;7;
FATO_PEDIDO;DIM_ESTABELECIMENTO_ID;NUMBER;NULL;;;;174688;8;
FATO_PEDIDO;DIM_REPRESENTANTE_ID;NUMBER;NULL;;;;174688;9;
FATO_PEDIDO;DIM_TIPO_NOTA_ID;NUMBER;NULL;;;;174688;10;
FATO_PEDIDO;DIM_TRANSPORTADORA_ID;NUMBER;NULL;;;;174688;11;
FATO_PEDIDO;DIM_DIVISAO_VENDA_ID;NUMBER;NULL;;;;174688;12;
FATO_PEDIDO;DIM_ITEM_ID;NUMBER;NULL;;;;174688;13;
FATO_PEDIDO;NR_PEDIDO;NUMBER;NULL;;;;174688;14;
FATO_PEDIDO;DT_EMIS;DATE;NULL;;;;174688;15;
FATO_PEDIDO;IN_TIPO;VARCHAR2(10);NULL;;;;174688;16;
FATO_PEDIDO;IN_POS_PDV;VARCHAR2(50);NULL;;;;174688;17;
FATO_PEDIDO;IN_TP_FRETE;VARCHAR2(50);NULL;;;;174688;18;
FATO_PEDIDO;IN_ORIGEM_PDV;VARCHAR2(50);NULL;;;;174688;19;
FATO_PEDIDO;IN_SIT_PDV;VARCHAR2(50);NULL;;;;174688;20;
FATO_PEDIDO;IN_SIT_PDV_FAT;VARCHAR2(50);NULL;;;;174688;21;
FATO_PEDIDO;IN_SIT_PDV_FAT_COM;VARCHAR2(50);NULL;;;;174688;22;
FATO_PEDIDO;IN_SIT_PDV_FAT_FIN;VARCHAR2(50);NULL;;;;174688;23;
FATO_PEDIDO;IN_SIT_PDV_COM;VARCHAR2(50);NULL;;;;174688;24;
FATO_PEDIDO;IN_SIT_PDV_FIN;VARCHAR2(50);NULL;;;;174688;25;
FATO_PEDIDO;IN_FIRME;NUMBER;NULL;;;;174688;26;
FATO_PEDIDO;QTD_ITEM;NUMBER;NULL;;;;174688;27;
FATO_PEDIDO;QTD_ATEND;NUMBER;NULL;;;;174688;28;
FATO_PEDIDO;QTD_CANC;NUMBER;NULL;;;;174688;29;
FATO_PEDIDO;QTD_SALDO;NUMBER;NULL;;;;174688;30;
FATO_PEDIDO;VLR_UNIT;NUMBER;NULL;;;;174688;31;
FATO_PEDIDO;VLR_CUSTO;NUMBER;NULL;;;;174688;32;
FATO_PEDIDO;VLR_FRETE;NUMBER;NULL;;;;174688;33;
FATO_PEDIDO;VLR_SEGURO;NUMBER;NULL;;;;174688;34;
FATO_PEDIDO;VLR_MARGEM;NUMBER;NULL;;;;174688;35;
FATO_PEDIDO;VLR_IPI;NUMBER;NULL;;;;174688;36;
FATO_PEDIDO;VLR_LIQUIDO_IPI;NUMBER;NULL;;;;174688;37;
FATO_PEDIDO;VLR_LIQ_IPI_S_ICMS;NUMBER;NULL;;;;174688;38;
FATO_PEDIDO;VLR_LIQUIDO;NUMBER;NULL;;;;174688;39;
FATO_PEDIDO;VLR_LIQUIDO_S_ICMS;NUMBER;NULL;;;;174688;40;
FATO_PEDIDO;VLR_BRUTO;NUMBER;NULL;;;;174688;41;
FATO_PEDIDO;VLR_BRUTO_S_ICMS;NUMBER;NULL;;;;174688;42;
FATO_PEDIDO;QTD_PESO_LIQUIDO;NUMBER;NULL;;;;174688;43;
FATO_PEDIDO;QTD_PESO_LIQ_TOT;NUMBER;NULL;;;;174688;44;
FATO_PEDIDO;QTD_PESO_BRUTO;NUMBER;NULL;;;;174688;45;
FATO_PEDIDO;QTD_PESO_BRT_TOT;NUMBER;NULL;;;;174688;46;
FATO_PEDIDO;DIM_MASCARA_ID;NUMBER;NULL;;;;174688;47;
FATO_PEDIDO;VLR_ACRES;NUMBER;NULL;;;;174688;48;
FATO_PEDIDO;VLR_ACRES_COMIS;NUMBER;NULL;;;;174688;49;
FATO_PEDIDO;VLR_ACRES_ICMS;NUMBER;NULL;;;;174688;50;
FATO_PEDIDO;VLR_ACRES_ICMS_ST;NUMBER;NULL;;;;174688;51;
FATO_PEDIDO;VLR_ACRES_INF;NUMBER;NULL;;;;174688;52;
FATO_PEDIDO;VLR_ACRES_PDV;NUMBER;NULL;;;;174688;53;
FATO_PEDIDO;VLR_ACRES_PDV_INF;NUMBER;NULL;;;;174688;54;
FATO_PEDIDO;VLR_BASE_DESPINF;NUMBER;NULL;;;;174688;55;
FATO_PEDIDO;VLR_COFINS;NUMBER;NULL;;;;174688;56;
FATO_PEDIDO;VLR_COFINS_ZF;NUMBER;NULL;;;;174688;57;
FATO_PEDIDO;VLR_DESC;NUMBER;NULL;;;;174688;58;
FATO_PEDIDO;VLR_DESC_COMIS;NUMBER;NULL;;;;174688;59;
FATO_PEDIDO;VLR_DESC_DIF;NUMBER;NULL;;;;174688;60;
FATO_PEDIDO;VLR_DESC_INF;NUMBER;NULL;;;;174688;61;
FATO_PEDIDO;VLR_DESC_PDV;NUMBER;NULL;;;;174688;62;
FATO_PEDIDO;VLR_DESC_PDV_INF;NUMBER;NULL;;;;174688;63;
FATO_PEDIDO;VLR_DESC_ZF;NUMBER;NULL;;;;174688;64;
FATO_PEDIDO;VLR_DIFER_ICMS;NUMBER;NULL;;;;174688;65;
FATO_PEDIDO;VLR_ICMS;NUMBER;NULL;;;;174688;66;
FATO_PEDIDO;VLR_ICMS_PART_UF_DEST;NUMBER;NULL;;;;174688;67;
FATO_PEDIDO;VLR_ICMS_PART_UF_ORIG;NUMBER;NULL;;;;174688;68;
FATO_PEDIDO;VLR_IPI_SICMS;NUMBER;NULL;;;;174688;69;
FATO_PEDIDO;VLR_LIQ_ALTERADO;NUMBER;NULL;;;;174688;70;
FATO_PEDIDO;VLR_PIS;NUMBER;NULL;;;;174688;71;
FATO_PEDIDO;VLR_PIS_ZF;NUMBER;NULL;;;;174688;72;
FATO_PEDIDO;VLR_RED_IPI;NUMBER;NULL;;;;174688;73;
FATO_PEDIDO;VLR_SUB_ICMS;NUMBER;NULL;;;;174688;74;
FATO_PEDIDO;DT_ENTREGA;DATE;NULL;;;;174688;75;
FATO_PEDIDO;DT_DIGITACAO;DATE;NULL;;;;174688;76;
FATO_SALDO_CCR;FATO_SALDO_CCR_ID;NUMBER;NOT NULL;;;;73948;1;
FATO_SALDO_CCR;DIM_EMPRESA_ID;NUMBER;NULL;;;;73948;2;
